,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Jim,,Joe,,James,,Shaffer,,Kim,, ,,,,,
Dark Blue (ORN),220,26,0,0,0,0,0,0,1,26,2,52,7,182,,0,,1822PNW,,
Orange (CMSP),450,60,0,0,2,120,0,0,6,360,0,0,2,120,,0,,,,
Green (SWW),400,68,0,0,2,136,6,408,1,68,0,0,1,68,,0,,,,
Red (CPR),200,42,0,0,6,252,1,42,1,42,1,42,1,42,,0,,,,
Light Blue (GN),245,50,0,0,0,0,1,50,1,50,6,300,2,100,,0,,,,
Black (NP),120,41,0,0,0,0,6,246,0,0,0,0,0,0,,0,,,,
Brown (SPS),245,61,0,0,2,122,0,0,3,183,5,305,0,0,,0,,,,
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,12,,14,,13,,14,,13,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,630,630,746,746,729,729,699,699,512,512,0,0,,3316,,
,Cash on hand,,,,"  1,383 ","  1,383 ","  1,430 ","  1,430 ","  1,337 ","  1,337 ",  664 ,  664 ,"  1,519 ","  1,519 ",,,,,,
,Checksum,,0,0,,0,,0,,220,,440,,1540,,0,,,,
,,,,,,900,,0,,2700,,0,,900,,0,,,,
,,,,,,800,,2400,,400,,0,,400,,0,,,,
,,,,,,1200,,200,,200,,200,,200,,0,,,,
,,,,,,0,,245,,245,,1470,,490,,0,,,,
,,,,,,0,,720,,0,,0,,0,,0,,,,
,,,,,,490,,0,,735,,1225,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  3,390 ","  3,390 ","  3,565 ","  3,565 ","  4,500 ","  4,500 ","  3,335 ","  3,335 ","  3,530 ","  3,530 ",  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  5,403 ","  5,403 ","  5,741 ","  5,741 ","  6,566 ","  6,566 ","  4,698 ","  4,698 ","  5,561 ","  5,561 ",  -   ,  -   ,,,,"  6,566 "
,,%,,,82%,82%,87%,87%,100%,100%,72%,72%,85%,85%,0%,0%,,,,
