,,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,,Final share value,OR1,or2,OR3,James,,Claudio,,Jim,,Kim,,,, ,,,,,
Dark Blue (ORN),  3 ,  150 ,  -   ,  -   ,  -   ,  1 ,0,  1 ,0,  -   ,0,  1 ,0,  -   ,0,,0,,1822PNW,,
Orange (CMSP),  10 ,  200 ,  -   ,  -   ,  -   ,  6 ,0,  2 ,0,  -   ,0,  2 ,0,  -   ,0,,0,,,,
Green (SWW),  10 ,  165 ,  -   ,  -   ,  -   ,  1 ,0,  7 ,0,  -   ,0,  2 ,0,  -   ,0,,0,,,,
Red (CPR),  3 ,  110 ,  -   ,  -   ,  -   ,  1 ,0,  -   ,0,  -   ,0,  2 ,0,  -   ,0,,0,,,,
Light Blue (GN),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,,0,,,,
Black (NP),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
Brown (SPS),  10 ,  120 ,  -   ,  -   ,  -   ,  3 ,0,  1 ,0,  -   ,0,  6 ,0,  -   ,0,,0,,,,
 ,0,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
,,  -   ,  -   ,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,0,,,,
,,Total number of shares,,,,  12 ,,  11 ,,  -   ,,  13 ,,  -   ,,0,,,,,
,,,,,,,,,,,,,,,,,,,Total dividend all,,
,,Total dividend,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
,,Cash on hand,,,,  500 ,  500 ,  -   ,  -   ,  -   ,  -   ,"  1,000 ","  1,000 ",  -   ,  -   ,,,,,,
,,Checksum,,  -   ,  -   ,,150,,150,,0,,150,,0,,0,,,,
,,,,,,,1200,,400,,0,,400,,0,,0,,,,
,,,,,,,165,,1155,,0,,330,,0,,0,,,,
,,,,,,,110,,0,,0,,220,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,360,,120,,0,,720,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total share value,,,,"  1,985 ","  1,985 ","  1,825 ","  1,825 ",  -   ,  -   ,"  1,820 ","  1,820 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,"  2,485 ","  2,485 ","  1,825 ","  1,825 ",  -   ,  -   ,"  2,820 ","  2,820 ",  -   ,  -   ,  -   ,  -   ,,,,"  2,820 "
,,,%,,,88%,88%,65%,65%,0%,0%,100%,100%,0%,0%,0%,0%,,,,
