,,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,,Final share value,OR1,or2,OR3,Chris,,Nigel,,Claudio,,Kim,,,, ,,,,,
Dark Blue (ORN),  10 ,  600 ,  104 ,,,,0,  1 ,104,  7 ,728,  2 ,208,,0,,0,,1822PNW,,
Orange (CMSP),  10 ,  400 ,  56 ,,,  4 ,224,  6 ,336,,0,,0,,0,,0,,,,
Green (SWW),  6 ,  164 ,  38 ,,,,0,,0,  2 ,76,  4 ,152,,0,,0,,,,
Red (CPR),  10 ,  400 ,  70 ,,,  6 ,420,  2 ,140,  2 ,140,,0,,0,,0,,,,
Light Blue (GN),  10 ,  360 ,  53 ,,,,  -   ,  2 ,  106 ,  1 ,  53 ,  7 ,  371 ,,0,,0,,,,
Black (NP),  10 ,  180 ,  43 ,,,  1 ,43,  1 ,43,  3 ,129,  5 ,215,,0,,0,,,,
Brown (SPS),  10 ,  270 ,  42 ,,,  6 ,252,  4 ,168,,0,,0,,0,,0,,,,
M10,  2 ,  210 ,,,,,0,,0,  2 ,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total number of shares,,,,  17 ,,  16 ,,  17 ,,  18 ,,  -   ,,0,,,,,
,,,,,,,,,,,,,,,,,,,Total dividend all,,
,,Total dividend,,,,939,939,897,897,1126,1126,946,946,,0,,0,,3908,,
,,Cash on hand,,,,"  4,129 ","  4,129 ","  1,406 ","  1,406 ","  2,664 ","  2,664 ","  1,863 ","  1,863 ",,,,,,,,
,,Checksum,,  -   ,  -   ,,0,,600,,4200,,1200,,0,,0,,,,
,,,,,,,1600,,2400,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,328,,656,,0,,0,,,,
,,,,,,,2400,,800,,800,,0,,0,,0,,,,
,,,,,,,0,,720,,360,,2520,,0,,0,,,,
,,,,,,,180,,180,,540,,900,,0,,0,,,,
,,,,,,,1620,,1080,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,420,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total share value,,,,"  5,800 ","  5,800 ","  5,780 ","  5,780 ","  6,648 ","  6,648 ","  5,276 ","  5,276 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,"  10,868 ","  10,868 ","  8,083 ","  8,083 ","  10,438 ","  10,438 ","  8,085 ","  8,085 ",  -   ,  -   ,  -   ,  -   ,,,,"  10,868 "
,,,%,,,100%,100%,74%,74%,96%,96%,74%,74%,0%,0%,0%,0%,,,,
