,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Jim,,James,,Kim,, ,, ,, ,,,,,
Blue (BK),280,57,57,57,6,1026,1,171,3,513,0,0,0,0,,0,,1824,,
Yellow (MS),170,28,28,28,5,420,0,0,1,84,0,0,0,0,,0,,,,
Black (CL),240,32,37,37,0,0,6,636,2,212,0,0,0,0,,0,,,,
Green (SB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
Red (BH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
Orange (SD),290,32,32,32,0,0,4,384,6,576,0,0,0,0,,0,,,,
Purple (UG),310,32,32,32,3,288,6,576,1,96,0,0,0,0,,0,,,,
Brown (K&K),155,40,40,40,5,600,1,120,4,480,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,19,,18,,17,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,2334,2334,1887,1887,1961,1961,0,0,0,0,0,0,,6182,,
,Cash on hand,,,,"  1,928 ","  1,928 ","  2,288 ","  2,288 ","  2,048 ","  2,048 ",  -   ,  -   ,  -   ,  -   ,,,,,,
,Checksum,,226,226,,1680,,280,,840,,0,,0,,0,,,,
,,,,,,850,,0,,170,,0,,0,,0,,,,
,,,,,,0,,1440,,480,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,1160,,1740,,0,,0,,0,,,,
,,,,,,930,,1860,,310,,0,,0,,0,,,,
,,,,,,775,,155,,620,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  4,235 ","  4,235 ","  4,895 ","  4,895 ","  4,160 ","  4,160 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  8,497 ","  8,497 ","  9,070 ","  9,070 ","  8,169 ","  8,169 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,"  9,070 "
,,%,,,94%,94%,100%,100%,90%,90%,0%,0%,0%,0%,0%,0%,,,,
