,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,3,
Corporation,Final share value,OR1,or2,OR3,Jim,,Claudio,,James,,Kim,, ,, ,,,,,
Blue (BK),300,31,0,0,1,93,1,93,6,558,0,0,0,0,,0,,1824,,
Yellow (MS),340,31,0,0,6,558,2,186,0,0,2,186,0,0,,0,,,,
Black (CL),350,21,0,0,6,378,4,252,0,0,1,63,0,0,,0,,,,
Green (SB),220,28,0,0,0,0,4,336,2,168,0,0,0,0,,0,,,,
Red (BH),270,35,0,0,1,105,0,0,2,210,6,630,0,0,,0,,,,
Orange (SD),190,36,0,0,1,108,0,0,3,324,6,648,0,0,,0,,,,
Purple (UG),340,29,0,0,1,87,5,435,0,0,2,174,0,0,,0,,,,
Brown (K&K),290,54,0,0,2,324,2,324,5,810,1,162,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,18,,18,,18,,18,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,1653,1653,1626,1626,2070,2070,1863,1863,0,0,0,0,,7212,,
,Cash on hand,,,,"  2,441 ","  2,441 ","  2,248 ","  2,248 ","  3,142 ","  3,142 ","  1,741 ","  1,741 ",  -   ,  -   ,,,,,,
,Checksum,,0,0,,300,,300,,1800,,0,,0,,0,,,,
,,,,,,2040,,680,,0,,680,,0,,0,,,,
,,,,,,2100,,1400,,0,,350,,0,,0,,,,
,,,,,,0,,880,,440,,0,,0,,0,,,,
,,,,,,270,,0,,540,,1620,,0,,0,,,,
,,,,,,190,,0,,570,,1140,,0,,0,,,,
,,,,,,340,,1700,,0,,680,,0,,0,,,,
,,,,,,580,,580,,1450,,290,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  5,820 ","  5,820 ","  5,540 ","  5,540 ","  4,800 ","  4,800 ","  4,760 ","  4,760 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  9,914 ","  9,914 ","  9,414 ","  9,414 ","  10,012 ","  10,012 ","  8,364 ","  8,364 ",  -   ,  -   ,  -   ,  -   ,,,,"  10,012 "
,,%,,,99%,99%,94%,94%,100%,100%,84%,84%,0%,0%,0%,0%,,,,
