,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Stephen,,Nick,,Brett,,Kim,, ,, ,,,,,
Atlantic Purple,275,22,22,22,2,132,0,0,1,66,7,462,,0,,0,10,1886,,
West Point,225,40,40,40,1,120,0,0,8,960,1,120,,0,,0,10,,,
Alpha Blue,325,28,28,28,11,924,0,0,4,336,5,420,,0,,0,20,,,
Florida,72,18,18,18,6,324,2,108,1,54,1,54,,0,,0,10,,,
Gulf Mobile Red,160,25,28,28,1,81,6,486,0,0,0,0,,0,,0,7,,,
Bravo Orange,120,29,29,29,1,87,12,1044,4,348,0,0,,0,,0,17,,,
Nofolk Black,160,29,29,29,3,261,2,174,0,0,5,435,,0,,0,10,,,
Southern Green,72,34,34,34,1,102,5,510,2,204,1,102,,0,,0,9,,,
,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,
,,,,,,0,,0,,0,,0,,0,,0,0,,,
,Total number of shares,,,,26,,27,,20,,20,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,"$2,031","$2,031","$2,322","$2,322","$1,968","$1,968","$1,593","$1,593",0,0,0,0,,"$7,914",,
,Cash on hand,,,,$217,$217,$589,$589,"$1,298","$1,298","$1,218","$1,218",  -   ,  -   ,,,,,,
,Checksum,,228,228,,550,,0,,275,,1925,,0,,0,,,,
,,,,,,225,,0,,1800,,225,,0,,0,,,,
,,,,,,3575,,0,,1300,,1625,,0,,0,,,,
,,,,,,432,,144,,72,,72,,0,,0,,,,
,,,,,,160,,960,,0,,0,,0,,0,,,,
,,,,,,120,,1440,,480,,0,,0,,0,,,,
,,,,,,480,,320,,0,,800,,0,,0,,,,
,,,,,,72,,360,,144,,72,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"$5,614","$5,614","$3,224","$3,224","$4,071","$4,071","$4,719","$4,719",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  7,862 ","  7,862 ","  6,135 ","  6,135 ","  7,337 ","  7,337 ","  7,530 ","  7,530 ",  -   ,  -   ,  -   ,  -   ,,,,"  7,862 "
,,%,,,100%,100%,78%,78%,93%,93%,96%,96%,0%,0%,0%,0%,,,,
