,,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,,Final share value,OR1,or2,OR3,Nigel,,Claudio,,James,,Jim,,Kim,, ,,,,,
Blue,0,  120 ,  -   ,  30 ,  31 ,  3 ,183,  1 ,61,  -   ,0,  -   ,0,  -   ,0,,0,,Lost Atlas,,
Orange,  10 ,  230 ,,  23 ,  23 ,,0,,0,,0,  6 ,276,  4 ,184,,0,,,,
Yellow,  10 ,  70 ,,  40 ,  40 ,  3 ,240,  4 ,320,  2 ,160,  1 ,80,,0,,0,,,,
purple,  10 ,  160 ,,  45 ,  45 ,,0,  1 ,90,  1 ,90,  6 ,540,  2 ,180,,0,,,,
COM,  10 ,  140 ,,  54 ,  54 ,  1 ,  108 ,  2 ,  216 ,  5 ,  540 ,,  -   ,  2 ,216,,0,,,,
Black Car,  10 ,  280 ,,  26 ,  26 ,  6 ,312,  1 ,52,  2 ,104,,0,  1 ,52,,0,,,,
Bank of England,  10 ,  180 ,,  58 ,  58 ,  1 ,116,  3 ,348,  2 ,232,  1 ,116,  3 ,348,,0,,,,
,0,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total number of shares,,,,  14 ,776,  12 ,1026,  12 ,1126,  14 ,1012,  12 ,,0,,,,,
,,,,,,,,,,,,,,,,,,,Total dividend all,,
,,Total dividend,,,,959,959,1087,1087,1126,1126,1012,1012,980,980,,0,,5164,,
,,Cash on hand,,,,"  1,414 ","  1,414 ","  1,442 ","  1,442 ","  1,364 ","  1,364 ","  2,267 ","  2,267 ","  1,570 ","  1,570 ",,,,,,
,,Checksum,,  276 ,  277 ,,360,,120,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,1380,,920,,0,,,,
,,,,,,,210,,280,,140,,70,,0,,0,,,,
,,,,,,,0,,160,,160,,960,,320,,0,,,,
,,,,,,,140,,280,,700,,0,,280,,0,,,,
,,,,,,,1680,,280,,560,,0,,280,,0,,,,
,,,,,,,180,,540,,360,,180,,540,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total share value,,,,"  2,570 ","  2,570 ","  1,660 ","  1,660 ","  1,920 ","  1,920 ","  2,590 ","  2,590 ","  2,340 ","  2,340 ",  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,"  4,943 ","  4,943 ","  4,189 ","  4,189 ","  4,410 ","  4,410 ","  5,869 ","  5,869 ","  4,890 ","  4,890 ",  -   ,  -   ,,,,"  5,869 "
,,,%,,,84%,84%,71%,71%,75%,75%,100%,100%,83%,83%,0%,0%,,,,
