,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Rich,,Mengji,,Jacob,,Kim,, ,, ,,,,,
Santa Fe,350,0,32,33,2,130,8,520,,0,,0,,0,,0,10,1870,,
BR: FW & Denver,350,0,30,31,,0,,0,1,61,9,549,,0,,0,10,,,
GMO,250,0,33,33,9,594,0,0,1,66,0,0,,0,,0,10,,,
Illinois central,200,0,33,33,6,396,0,0,1,66,1,66,,0,,0,8,,,
KATY: Miss-Kansas,160,0,39,39,1,78,5,390,1,78,1,78,,0,,0,8,,,
Frisco: ST Louis-Frisco,140,0,39,40,,0,0,0,6,474,1,79,,0,,0,7,,,
Miss-Pacific,100,0,35,37,,0,0,0,7,504,,0,,0,,0,7,,,
Texas,64,0,41,50,n ,#VALUE!,3,273,1,91,,0,,0,,0,#VALUE!,,,
S:t Louis SW,120,,37,38,,0,6,450,,0,,0,,0,,0,6,,,
Southern pacific,90,0,0,24,0,0,0,0,1,24,6,144,,0,,0,7,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,
,,,,,,0,,0,,0,,0,,0,,0,0,,,
,Total number of shares,,,,18,,22,,19,,18,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,#VALUE!,#VALUE!,1633,1633,1364,1364,916,916,0,0,0,0,,#VALUE!,,
,Cash on hand,,,,"  2,100 ","  2,100 ","  3,229 ","  3,229 ","  2,915 ","  2,915 ","  1,159 ","  1,159 ",  -   ,  -   ,,,,,,
,Checksum,,319,358,,700,,2800,,0,,0,,0,,0,,,,
,,,,,,0,,0,,350,,3150,,0,,0,,,,
,,,,,,2250,,0,,250,,0,,0,,0,,,,
,,,,,,1200,,0,,200,,200,,0,,0,,,,
,,,,,,160,,800,,160,,160,,0,,0,,,,
,,,,,,0,,0,,840,,140,,0,,0,,,,
,,,,,,0,,0,,700,,0,,0,,0,,,,
,,,,,,#VALUE!,,192,,64,,0,,0,,0,,,,
,,,,,,0,,720,,0,,0,,0,,0,,,,
,,,,,,0,,0,,90,,540,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,#VALUE!,#VALUE!,"  4,512 ","  4,512 ","  2,654 ","  2,654 ","  4,190 ","  4,190 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,#VALUE!,#VALUE!,"  9,374 ","  9,374 ","  6,933 ","  6,933 ","  6,265 ","  6,265 ",  -   ,  -   ,  -   ,  -   ,,,,#VALUE!
,,%,,,,,,,,,,,,,,,,,,
