,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,OR2,OR3,Eduardo,,Stephen,,Kim,,,,,, ,,,,,
GT,300,38,40,40,1,118,6,708,3,354,0,0,0,0,,0,,1846,,
BB,200,25,25,25,3,225,6,450,1,75,0,0,0,0,,0,,,,
SO,167,28,28,28,8,672,2,168,0,0,0,0,0,0,,0,,,,
A,152,25,25,25,3,225,1,75,6,450,0,0,0,0,,0,,,,
C,122,35,35,35,7,735,1,105,2,210,0,0,0,0,,0,,,,
S,122,52,52,52,1,156,3,468,6,936,0,0,0,0,,0,,,,
MR,78,22,22,22,0,0,4,264,0,0,0,0,0,0,,0,,,,
MS,78,23,23,23,3,207,0,0,5,345,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,26,,23,,23,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,2338,2338,2238,2238,2370,2370,0,0,0,0,0,0,,6946,,
,Cash on hand,,,,  873 ,  873 ,"  1,096 ","  1,096 ","  1,328 ","  1,328 ",  -   ,  -   ,0,0,,,,,,
,Checksum,,250,250,,300,,1800,,900,,0,,0,,0,,,,
,,,,,,600,,1200,,200,,0,,0,,0,,,,
,,,,,,1336,,334,,0,,0,,0,,0,,,,
,,,,,,456,,152,,912,,0,,0,,0,,,,
,,,,,,854,,122,,244,,0,,0,,0,,,,
,,,,,,122,,366,,732,,0,,0,,0,,,,
,,,,,,0,,312,,0,,0,,0,,0,,,,
,,,,,,234,,0,,390,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  3,902 ","  3,902 ","  4,286 ","  4,286 ","  3,378 ","  3,378 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  7,113 ","  7,113 ","  7,620 ","  7,620 ","  7,076 ","  7,076 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,"  7,620 "
,,%,,,93%,93%,100%,100%,93%,93%,0%,0%,0%,0%,0%,0%,,,,
