,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Joe,,Bryan,,Dan,,Kim,, ,, ,,,,,
Blue SCR,112,54,0,0,1,54,0,0,4,216,5,270,0,0,,0,,1882,,
Green CNR,120,21,0,0,1,21,1,21,0,0,4,84,0,0,,0,,,,
Black GTP,111,22,0,0,1,22,4,88,0,0,0,0,0,0,,0,,,,
Orange CNR,100,27,0,0,6,162,1,27,0,0,0,0,0,0,,0,,,,
Purple,110,26,0,0,1,26,4,104,0,0,1,26,0,0,,0,,,,
Red CPR,80,39,0,0,1,39,0,0,3,117,1,39,0,0,,0,,,,
Yellow HBR,67,43,0,0,0,0,0,0,2,86,3,129,0,0,,0,,,,
,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,12,,10,,9,,14,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,324,324,240,240,419,419,548,548,0,0,0,0,,1531,,
,Cash on hand,,,,  625 ,  625 ,"  1,058 ","  1,058 ",  661 ,  661 ,"  1,100 ","  1,100 ",  -   ,  -   ,,,,,,
,Checksum,,0,0,,112,,0,,448,,560,,0,,0,,,,
,,,,,,120,,120,,0,,480,,0,,0,,,,
,,,,,,111,,444,,0,,0,,0,,0,,,,
,,,,,,600,,100,,0,,0,,0,,0,,,,
,,,,,,110,,440,,0,,110,,0,,0,,,,
,,,,,,80,,0,,240,,80,,0,,0,,,,
,,,,,,0,,0,,134,,201,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  1,133 ","  1,133 ","  1,104 ","  1,104 ",  822 ,  822 ,"  1,431 ","  1,431 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  2,082 ","  2,082 ","  2,402 ","  2,402 ","  1,902 ","  1,902 ","  3,079 ","  3,079 ",  -   ,  -   ,  -   ,  -   ,,,,"  3,079 "
,,%,,,68%,68%,78%,78%,62%,62%,100%,100%,0%,0%,0%,0%,,,,
