,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,3,
Corporation,Final share value,OR1,or2,OR3,Joe,,JGO,,Dan,,Kim,, ,, ,,,,,
Blue SCR,76,26,0,0,0,0,6,468,2,156,0,0,0,0,,0,,1882,,
Green CNR,120,21,0,0,0,0,0,0,0,0,5,315,0,0,,0,,,,
Black GTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
Orange CNR,112,35,0,0,6,630,0,0,2,210,2,210,0,0,,0,,,,
Purple,112,61,0,0,6,1098,0,0,2,366,2,366,0,0,,0,,,,
Red CPR,130,20,0,0,1,60,0,0,6,360,0,0,0,0,,0,,,,
Yellow HBR,100,30,0,0,0,0,2,180,0,0,4,360,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,13,,8,,12,,13,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,1788,1788,648,648,1092,1092,1251,1251,0,0,0,0,,4779,,
,Cash on hand,,,,"  1,123 ","  1,123 ",  229 ,  229 ,  274 ,  274 ,"  1,276 ","  1,276 ",  -   ,  -   ,,,,,,
,Checksum,,0,0,,0,,456,,152,,0,,0,,0,,,,
,,,,,,0,,0,,0,,600,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,672,,0,,224,,224,,0,,0,,,,
,,,,,,672,,0,,224,,224,,0,,0,,,,
,,,,,,130,,0,,780,,0,,0,,0,,,,
,,,,,,0,,200,,0,,400,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  1,474 ","  1,474 ",  656 ,  656 ,"  1,380 ","  1,380 ","  1,448 ","  1,448 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  4,385 ","  4,385 ","  1,533 ","  1,533 ","  2,746 ","  2,746 ","  3,975 ","  3,975 ",  -   ,  -   ,  -   ,  -   ,,,,"  4,385 "
,,%,,,100%,100%,35%,35%,63%,63%,91%,91%,0%,0%,0%,0%,,,,
