,,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,,Final share value,OR1,or2,OR3,Drakos,,Mello,,JGO,,Kim,,0,, ,,,,,
SCR,0,  90 ,  -   ,  23 ,  23 ,  -   ,0,  -   ,0,  6 ,276,  -   ,0,  -   ,0,,0,,Lost Atlas,,
CAR,0,  65 ,,  37 ,  37 ,  1 ,74,  1 ,74,  1 ,74,  6 ,444,  -   ,0,,0,,,,
Hudson,0,  110 ,,  34 ,  34 ,  -   ,0,  6 ,408,  2 ,136,  -   ,0,,0,,0,,,,
CPR,0,  -   ,,  -   ,  -   ,  -   ,0,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,,,
COM,  -   ,  70 ,,  34 ,  34 ,  -   ,  -   ,  4 ,  272 ,  2 ,  136 ,,  -   ,  -   ,0,,0,,,,
Trunk,0,  155 ,,  23 ,  23 ,  -   ,0,  1 ,46,  -   ,0,  4 ,184,  -   ,0,,0,,,,
Green,0,  70 ,,  20 ,  20 ,  6 ,240,  3 ,120,  1 ,40,  -   ,0,  -   ,0,,0,,,,
Red,0,  75 ,  -   ,  37 ,  37 ,  2 ,148,  1 ,74,  1 ,74,  1 ,74,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,0,  -   ,  -   ,,,  -   ,0,,0,,0,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Total number of shares,,,,  9 ,462,  16 ,994,  13 ,460,  11 ,702,  -   ,,0,,,,,
,,,,,,,,,,,,,,,,,,,Total dividend all,,
,,Total dividend,,,,462,462,994,994,736,736,702,702,0,0,,0,,2894,,
,,Cash on hand,,,,  205 ,  205 ,"  1,271 ","  1,271 ",  956 ,  956 ,  328 ,  328 ,  -   ,  -   ,,,,,,
,,Checksum,,  208 ,  208 ,,0,,0,,540,,0,,0,,0,,,,
,,,,,,,65,,65,,65,,390,,0,,0,,,,
,,,,,,,0,,660,,220,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,280,,140,,0,,0,,0,,,,
,,,,,,,0,,155,,0,,620,,0,,0,,,,
,,,,,,,420,,210,,70,,0,,0,,0,,,,
,,,,,,,150,,75,,75,,75,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total share value,,,,  635 ,  635 ,"  1,445 ","  1,445 ","  1,110 ","  1,110 ","  1,085 ","  1,085 ",  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,"  1,302 ","  1,302 ","  3,710 ","  3,710 ","  2,802 ","  2,802 ","  2,115 ","  2,115 ",  -   ,  -   ,  -   ,  -   ,,,,"  3,710 "
,,,%,,,35%,35%,100%,100%,76%,76%,57%,57%,0%,0%,0%,0%,,,,
