,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,or2,OR3,Chris,,Mattq,,Corey,,Shaffer,,Kim,, ,,,,,
Green CVC,85,40,0,0,0,0,0,0,1,40,0,0,4,160,,0,,18Cuba,,
Black STSP,165,34,0,0,1,34,2,68,6,204,1,34,0,0,,0,,,,
Orange NPP,132,32,0,0,0,0,0,0,1,32,6,192,1,32,,0,,,,
Brown DE,250,30,0,0,4,120,1,30,0,0,5,150,,0,,0,,,,
Red TSS,95,31,0,0,0,0,4,124,1,31,0,0,1,31,,0,,,,
Blue SDC,213,32,0,0,0,0,1,32,2,64,1,32,6,192,,0,,,,
Yellow Ms,240,35,0,0,0,0,6,210,2,70,1,35,1,35,,0,,,,
Purple FEC,115,42,0,0,5,210,2,84,1,42,1,42,1,42,,0,,,,
Grey FC,165,33,0,0,6,198,,0,3,99,,0,1,33,,0,,,,
FC,0,0,0,0,,0,,0,,0,,0,,0,,0,,,,
yellow dq,95,40,0,0,0,0,0,0,2,80,0,0,1,40,,0,,,,
pink ju,126,68,0,0,0,0,3,204,0,0,0,0,1,68,,0,,,,
gree co,144,40,0,0,0,0,1,40,0,0,3,120,,0,,0,,,,
grey hg,165,30,0,0,3,90,0,0,0,0,2,60,0,0,,0,,,,
salmonish cs,151,42,0,0,,0,0,0,0,0,,0,3,126,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,19,,20,,19,,20,,20,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,652,652,792,792,662,662,665,665,759,759,0,0,,3530,,
,Cash on hand,,,,"  1,811 ","  1,811 ","  2,189 ","  2,189 ","  1,996 ","  1,996 ","  1,799 ","  1,799 ",1758,1758,,,,,,
,Checksum,,0,0,,0,,0,,85,,0,,340,,0,,,,
,,,,,,165,,330,,990,,165,,0,,0,,,,
,,,,,,0,,0,,132,,792,,132,,0,,,,
,,,,,,1000,,250,,0,,1250,,0,,0,,,,
,,,,,,0,,380,,95,,0,,95,,0,,,,
,,,,,,0,,213,,426,,213,,1278,,0,,,,
,,,,,,0,,1440,,480,,240,,240,,0,,,,
,,,,,,575,,230,,115,,115,,115,,0,,,,
,,,,,,990,,0,,495,,0,,165,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,0,,0,,190,,0,,95,,0,,,,
,,,,,,0,,378,,0,,0,,126,,0,,,,
,,,,,,0,,144,,0,,432,,0,,0,,,,
,,,,,,495,,0,,0,,330,,0,,0,,,,
,,,,,,0,,0,,0,,0,,453,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  3,225 ","  3,225 ","  3,365 ","  3,365 ","  3,008 ","  3,008 ","  3,537 ","  3,537 ","  3,039 ","  3,039 ",  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  5,688 ","  5,688 ","  6,346 ","  6,346 ","  5,666 ","  5,666 ","  6,001 ","  6,001 ","  5,556 ","  5,556 ",  -   ,  -   ,,,,"  6,346 "
,,%,,,90%,90%,100%,100%,89%,89%,95%,95%,88%,88%,0%,0%,,,,
