,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,Final share value,OR1,OR2,OR3,Mike,,Paul,,Tyronne,,Chris,,Kim,, ,,,,,
Green CVC,180,33,33,33,1,99,1,99,1,99,1,99,6,594,,0,,18Cuba,,
Black STSP,105,25,25,25,0,0,0,0,0,0,0,0,6,450,,0,,,,
Orange NPP,151,45,45,45,2,270,1,135,2,270,5,675,0,0,,0,,,,
Brown DE,213,68,68,68,1,204,6,1224,2,408,1,204,,0,,0,,,,
Red TSS,126,27,27,27,1,81,0,0,0,0,5,405,1,81,,0,,,,
Blue SDC,204,33,33,33,6,594,0,0,3,297,1,99,,0,,0,,,,
Yellow Ms,204,34,34,34,1,102,1,102,5,510,3,306,,0,,0,,,,
Purple FEC,100,37,37,33,1,107,6,642,1,107,0,0,0,0,,0,,,,
Grey FC,115,44,44,43,,0,,0,,0,,0,2,262,,0,,,,
FC,0,0,0,0,,0,,0,,0,,0,,0,,0,,,,
yellow dq,275,42,42,42,1,126,1,126,,0,0,0,3,378,,0,,,,
pink ju,213,34,34,34,1,102,,0,1,102,3,306,,0,,0,,,,
gree co,196,36,44,44,3,372,,0,1,124,1,124,,0,,0,,,,
grey hg,196,54,54,54,1,162,1,162,2,324,,0,1,162,,0,,,,
salmonish cs,188,54,54,54,,0,3,486,1,162,,0,1,162,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total number of shares,,,,19,,20,,19,,20,,20,,0,,,,,
,,,,,,,,,,,,,,,,,,Total dividend all,,
,Total dividend,,,,2219,2219,2976,2976,2403,2403,2218,2218,2089,2089,0,0,,11905,,
,Cash on hand,,,,"  1,620 ","  1,620 ","  1,241 ","  1,241 ","  1,678 ","  1,678 ","  1,012 ","  1,012 ",1303,1303,,,,,,
,Checksum,,574,569,,180,,180,,180,,180,,1080,,0,,,,
,,,,,,0,,0,,0,,0,,630,,0,,,,
,,,,,,302,,151,,302,,755,,0,,0,,,,
,,,,,,213,,1278,,426,,213,,0,,0,,,,
,,,,,,126,,0,,0,,630,,126,,0,,,,
,,,,,,1224,,0,,612,,204,,0,,0,,,,
,,,,,,204,,204,,1020,,612,,0,,0,,,,
,,,,,,100,,600,,100,,0,,0,,0,,,,
,,,,,,0,,0,,0,,0,,230,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,275,,275,,0,,0,,825,,0,,,,
,,,,,,213,,0,,213,,639,,0,,0,,,,
,,,,,,588,,0,,196,,196,,0,,0,,,,
,,,,,,196,,196,,392,,0,,196,,0,,,,
,,,,,,0,,564,,188,,0,,188,,0,,,,
,,,,,,0,,0,,0,,0,,0,,0,,,,
,Total share value,,,,"  3,621 ","  3,621 ","  3,448 ","  3,448 ","  3,629 ","  3,629 ","  3,429 ","  3,429 ","  3,275 ","  3,275 ",  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,
,,Total,,,"  7,460 ","  7,460 ","  7,665 ","  7,665 ","  7,710 ","  7,710 ","  6,659 ","  6,659 ","  6,667 ","  6,667 ",  -   ,  -   ,,,,"  7,710 "
,,%,,,97%,97%,99%,99%,100%,100%,86%,86%,86%,86%,0%,0%,,,,
