,,,Dividend per share,,,Number of shares,,,,,,,,,,,,,OR1 multiplied by,1,
Corporation,,Final share value,OR1,or2,OR3,Stevesie,,Claudio,,Kim,,,,,, ,,,,,
Red,  -   ,  -   ,  -   ,,,,0,  -   ,0,  -   ,0,  -   ,0,,0,,0,,Lost Atlas,,
Orange,  -   ,  -   ,  -   ,,,  -   ,0,,0,  -   ,0,  -   ,0,,0,,0,,,,
Yellow,  9 ,  245 ,  39 ,  40 ,,  -   ,0,  6 ,474,  3 ,237,  -   ,0,,0,,0,,,,
Blue,  9 ,  180 ,  43 ,  45 ,,  6 ,528,  3 ,264,  -   ,0,  -   ,0,,0,,0,,,,
Green,  10 ,  300 ,  47 ,  50 ,,  6 ,  582 ,  2 ,  194 ,  2 ,  194 ,  -   ,  -   ,,0,,0,,,,
Purple,  6 ,  200 ,  30 ,  31 ,,  -   ,0,  -   ,0,  6 ,366,  -   ,0,,0,,0,,,,
Spacious,  -   ,  -   ,  -   ,,,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,0,,,,
M10,  -   ,  -   ,  -   ,,,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,0,,,,
Bridging,,,,,,  -   ,0,  -   ,0,  -   ,0,  -   ,0,,0,,0,,,,
Overnight,,,,,,,0,,0,,0,  -   ,0,,0,,0,,,,
Tunneling,,,,,,,0,,0,,0,  -   ,0,,0,,0,,,,
Resourcefull,,,,,,,0,,0,,0,,0,,0,,0,,,,
Eastern Mining,,,,,,,0,,0,,0,,0,,0,,0,,,,
Agriculture,,,,,,,0,,0,,0,,0,,0,,0,,,,
Port,,,,,,,0,,0,,0,,0,,0,,0,,,,
Expansive,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total number of shares,,,,  12 ,,  11 ,,  11 ,,  -   ,,  -   ,,0,,,,,
,,,,,,,,,,,,,,,,,,,Total dividend all,,
,,Total dividend,,,,1110,1110,932,932,797,797,0,0,,0,,0,,2839,,
,,Cash on hand,,,,  609 ,  609 ,  125 ,  125 ,  584 ,  584 ,,,,,,,,,,
,,Checksum,,  166 ,  -   ,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,1470,,735,,0,,0,,0,,,,
,,,,,,,1080,,540,,0,,0,,0,,0,,,,
,,,,,,,1800,,600,,600,,0,,0,,0,,,,
,,,,,,,0,,0,,1200,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,,,,,,0,,0,,0,,0,,0,,0,,,,
,,Total share value,,,,"  2,880 ","  2,880 ","  2,610 ","  2,610 ","  2,535 ","  2,535 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,"  4,599 ","  4,599 ","  3,667 ","  3,667 ","  3,916 ","  3,916 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,"  4,599 "
,,,%,,,100%,100%,80%,80%,85%,85%,0%,0%,0%,0%,0%,0%,,,,
